job_id,job_title,company,city,state,location,country,remote_option,post_date,application_deadline,experience_level,employment_type,industry,min_salary,max_salary,salary_avg,required_skills,certifications_required,cloud_platform,job_description,job_availability_status,job_function,currency,job_post_age_days,state_avg_salary,how_much_older,
JD-11,GCP DevOps Engineer,Flores-Rivera,Atlanta,GA,"Atlanta, GA",USA,Remote,2025-01-18,2025-06-05,Senior,Part-time,Telecommunications,"$136,242","$175,570","$155,906","['GKE', 'Docker', 'CI/CD', 'BigQuery', 'Linux', 'Cloud Functions', 'Kubernetes']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP DevOps Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Operations,USD,83,"$158,840",older than 30 days,
JD-12,GCP DevOps Engineer,Hunter PLC,Phoenix,AZ,"Phoenix, AZ",USA,Hybrid,2025-02-07,2025-06-04,Entry-level,Full-time,E-commerce,"$54,963","$84,822","$69,892","['GKE', 'Docker', 'CI/CD', 'Python', 'gcloud CLI', 'Cloud Functions', 'Kubernetes']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP DevOps Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Security,USD,63,"$172,579",older than 30 days,
JD-13,AWS Cloud Security Specialist,Powell-Young,Austin,TX,"Austin, TX",USA,On-site,2025-03-14,2025-05-30,Mid-level,Full-time,Telecommunications,"$109,445","$145,148","$127,296","['Docker', 'IAM', 'Lambda', 'Linux', 'CloudFormation', 'Kubernetes', 'Terraform']","['AWS SysOps Administrator', 'AWS Certified Solutions Architect']",AWS,"As a AWS Cloud Security Specialist, you will lead efforts to architect, implement, and maintain solutions on the AWS cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in AWS-specific tools and industry-standard DevOps and security practices.",Active,Security,USD,28,"$171,059",30 days,
JD-14,GCP Security Specialist,Solis-West,Austin,TX,"Austin, TX",USA,Remote,2025-02-24,2025-05-11,Senior,Part-time,Healthcare,"$160,273","$201,367","$180,820","['Docker', 'CI/CD', 'BigQuery', 'Python', 'gcloud CLI', 'Cloud Functions', 'Kubernetes']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Security Specialist, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,46,"$171,059",older than 30 days,
JD-15,GCP Infrastructure Consultant,West-Wilson,Salt Lake City,UT,"Salt Lake City, UT",USA,Remote,2025-04-04,2025-04-28,Mid-level,Full-time,Healthcare,"$92,212","$132,553","$112,382","['GKE', 'CI/CD', 'BigQuery', 'Linux', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Infrastructure Consultant, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Operations,USD,7,"$160,070",10 days,
JD-16,GCP Data Engineer,"Valdez, Garcia and Gutierrez",Portland,OR,"Portland, OR",USA,On-site,2025-02-28,2025-05-23,Entry-level,Full-time,Finance,"$73,931","$91,254","$82,592","['Docker', 'BigQuery', 'Python', 'Linux', 'gcloud CLI', 'Cloud Functions', 'Kubernetes']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a GCP Data Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,42,"$166,069",older than 30 days,
JD-17,GCP Cloud Platform Engineer,"Smith, Davis and Munoz",Salt Lake City,UT,"Salt Lake City, UT",USA,Remote,2025-03-06,2025-05-11,Mid-level,Internship,Finance,"$106,663","$140,067","$123,365","['GKE', 'Python', 'Linux', 'gcloud CLI', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Cloud Platform Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Security,USD,36,"$160,070",older than 30 days,
JD-18,GCP DevOps Engineer,"Torres, Romero and Clark",Minneapolis,MN,"Minneapolis, MN",USA,Hybrid,2025-03-12,2025-05-21,Mid-level,Contract,Healthcare,"$110,153","$130,651","$120,402","['GKE', 'Docker', 'Python', 'Linux', 'gcloud CLI', 'Cloud Functions', 'Kubernetes']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a GCP DevOps Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,30,"$166,681",30 days,
JD-19,Azure Security Specialist,Clements-Cox,Austin,TX,"Austin, TX",USA,Remote,2025-03-17,2025-04-23,Senior,Contract,Healthcare,"$227,173","$302,454","$264,813","['Docker', 'Azure DevOps', 'ARM Templates', 'Python', 'Azure AD', 'Kubernetes', 'Terraform']","['Microsoft Azure Fundamentals', 'Azure Administrator Associate']",Azure,"As a Azure Security Specialist, you will lead efforts to architect, implement, and maintain solutions on the Azure cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in Azure-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,25,"$171,059",30 days,
JD-20,AWS System Administrator,Richard LLC,Las Vegas,NV,"Las Vegas, NV",USA,On-site,2025-01-16,2025-05-25,Senior,Internship,Education,"$138,335","$216,577","$177,456","['AWS EC2', 'Lambda', 'CI/CD', 'Python', 'CloudFormation', 'Kubernetes', 'Terraform']","['AWS SysOps Administrator', 'AWS Certified Solutions Architect']",AWS,"As a AWS System Administrator, you will lead efforts to architect, implement, and maintain solutions on the AWS cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in AWS-specific tools and industry-standard DevOps and security practices.",Active,Security,USD,85,"$169,536",older than 30 days,
JD-21,GCP Infrastructure Consultant,"Greene, Moran and Cox",San Francisco,CA,"San Francisco, CA",USA,Hybrid,2025-03-06,2025-05-08,Entry-level,Full-time,Education,"$61,286","$88,563","$74,924","['GKE', 'BigQuery', 'Python', 'Linux', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Infrastructure Consultant, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,36,"$158,378",older than 30 days,
JD-22,GCP Data Engineer,Davis Ltd,Las Vegas,NV,"Las Vegas, NV",USA,Remote,2025-02-23,2025-05-12,Senior,Full-time,Education,"$154,780","$227,701","$191,240","['Docker', 'CI/CD', 'BigQuery', 'Python', 'Linux', 'gcloud CLI', 'Cloud Functions']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a GCP Data Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Security,USD,47,"$169,536",older than 30 days,
JD-23,GCP Security Specialist,Peterson Ltd,Miami,FL,"Miami, FL",USA,Remote,2025-02-01,2025-05-12,Entry-level,Full-time,Healthcare,"$76,262","$87,652","$81,957","['GKE', 'CI/CD', 'BigQuery', 'Python', 'Linux', 'gcloud CLI', 'Terraform']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a GCP Security Specialist, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,69,"$164,546",older than 30 days,
JD-24,Azure Solutions Architect,Kelley-Brooks,Nashville,TN,"Nashville, TN",USA,Hybrid,2025-03-29,2025-05-06,Senior,Full-time,Telecommunications,"$227,454","$345,809","$286,631","['Azure Monitor', 'CI/CD', 'Azure DevOps', 'Python', 'Linux', 'Azure AD', 'Terraform']","['Microsoft Azure Fundamentals', 'Azure Administrator Associate']",Azure,"As a Azure Solutions Architect, you will lead efforts to architect, implement, and maintain solutions on the Azure cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in Azure-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,13,"$162,483",15 days,
JD-25,AWS Infrastructure Consultant,Prince Group,Philadelphia,PA,"Philadelphia, PA",USA,Hybrid,2025-01-21,2025-05-21,Entry-level,Contract,E-commerce,"$59,905","$93,351","$76,628","['Lambda', 'IAM', 'Python', 'Linux', 'CloudFormation', 'Kubernetes', 'Terraform']","['AWS SysOps Administrator', 'AWS Certified Solutions Architect']",AWS,"As a AWS Infrastructure Consultant, you will lead efforts to architect, implement, and maintain solutions on the AWS cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in AWS-specific tools and industry-standard DevOps and security practices.",Active,Operations,USD,80,"$164,776",older than 30 days,
JD-26,Google Cloud Engineer,"Newton, Ortiz and King",Boston,MA,"Boston, MA",USA,Hybrid,2025-01-24,2025-06-03,Mid-level,Full-time,Finance,"$93,323","$143,255","$118,289","['GKE', 'CI/CD', 'BigQuery', 'Python', 'Linux', 'Cloud Functions', 'Terraform']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a Google Cloud Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,77,"$157,901",older than 30 days,
JD-27,GCP Site Reliability Engineer,Martinez Group,Boston,MA,"Boston, MA",USA,On-site,2025-01-30,2025-05-19,Mid-level,Contract,Finance,"$96,586","$139,340","$117,963","['Docker', 'CI/CD', 'BigQuery', 'gcloud CLI', 'Linux', 'Cloud Functions', 'Kubernetes']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a GCP Site Reliability Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Security,USD,71,"$157,901",older than 30 days,
JD-28,GCP Data Engineer,Summers-Lee,Austin,TX,"Austin, TX",USA,On-site,2025-01-31,2025-05-29,Entry-level,Full-time,Telecommunications,"$73,147","$92,987","$83,067","['GKE', 'Docker', 'CI/CD', 'Python', 'Linux', 'gcloud CLI', 'Cloud Functions']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Data Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Operations,USD,70,"$171,059",older than 30 days,
JD-29,GCP Cloud Platform Engineer,Sherman Inc,Portland,OR,"Portland, OR",USA,On-site,2025-02-12,2025-03-25,Mid-level,Full-time,Finance,"$101,812","$128,861","$115,336","['GKE', 'CI/CD', 'BigQuery', 'Python', 'Linux', 'gcloud CLI', 'Kubernetes']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a GCP Cloud Platform Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Expired,Security,USD,58,"$166,069",older than 30 days,
JD-30,GCP Cloud Platform Engineer,"Monroe, Chapman and Barton",Portland,OR,"Portland, OR",USA,On-site,2025-04-10,2025-05-25,Senior,Contract,Telecommunications,"$154,244","$172,450","$163,347","['GKE', 'Docker', 'CI/CD', 'BigQuery', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Cloud Platform Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,1,"$166,069",1 day,
JD-31,GCP Infrastructure Consultant,Barrett-Blanchard,Dallas,TX,"Dallas, TX",USA,On-site,2025-02-23,2025-05-01,Senior,Full-time,E-commerce,"$159,273","$182,909","$171,091","['CI/CD', 'BigQuery', 'gcloud CLI', 'Linux', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a GCP Infrastructure Consultant, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,47,"$171,059",older than 30 days,
JD-32,Azure Cloud Engineer,Smith-Fitzgerald,Boston,MA,"Boston, MA",USA,Remote,2025-01-24,2025-05-04,Mid-level,Full-time,Finance,"$98,120","$146,973","$122,546","['Docker', 'CI/CD', 'Azure Monitor', 'ARM Templates', 'Linux', 'Azure AD', 'Terraform']","['Microsoft Azure Fundamentals', 'Azure Administrator Associate']",Azure,"As a Azure Cloud Engineer, you will lead efforts to architect, implement, and maintain solutions on the Azure cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in Azure-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,77,"$157,901",older than 30 days,
JD-33,GCP Cloud Platform Engineer,Roberson-Webb,Las Vegas,NV,"Las Vegas, NV",USA,On-site,2025-03-05,2025-06-08,Senior,Internship,Healthcare,"$140,945","$180,311","$160,628","['GKE', 'Docker', 'BigQuery', 'Linux', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Cloud Platform Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,37,"$169,536",older than 30 days,
JD-34,GCP DevOps Engineer,Holt and Sons,Detroit,MI,"Detroit, MI",USA,Remote,2025-03-01,2025-06-06,Senior,Full-time,Education,"$214,047","$321,007","$267,527","['GKE', 'Docker', 'CI/CD', 'Python', 'Linux', 'gcloud CLI', 'Cloud Functions']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP DevOps Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,41,"$171,649",older than 30 days,
JD-35,GCP Cloud Platform Engineer,Garcia Ltd,Miami,FL,"Miami, FL",USA,On-site,2025-03-22,2025-05-27,Senior,Full-time,Finance,"$232,468","$335,912","$284,190","['GKE', 'BigQuery', 'Python', 'Linux', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Cloud Platform Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Operations,USD,20,"$164,546",30 days,
JD-36,GCP Security Specialist,"Andrade, Gordon and Cruz",Portland,OR,"Portland, OR",USA,Remote,2025-03-10,2025-05-01,Entry-level,Contract,Healthcare,"$51,191","$81,829","$66,510","['GKE', 'Docker', 'CI/CD', 'BigQuery', 'Linux', 'Cloud Functions', 'Kubernetes']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Security Specialist, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,32,"$166,069",older than 30 days,
JD-37,GCP Data Engineer,"Farmer, Hill and Stuart",Denver,CO,"Denver, CO",USA,Hybrid,2025-03-11,2025-05-29,Senior,Contract,Healthcare,"$249,348","$273,765","$261,556","['GKE', 'CI/CD', 'BigQuery', 'gcloud CLI', 'Linux', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Data Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,31,"$152,551",older than 30 days,
JD-38,Cloud Developer - GCP,Ballard-Taylor,Salt Lake City,UT,"Salt Lake City, UT",USA,Remote,2025-02-08,2025-05-25,Mid-level,Contract,Education,"$108,861","$144,797","$126,829","['GKE', 'CI/CD', 'BigQuery', 'Python', 'gcloud CLI', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a Cloud Developer - GCP, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Security,USD,62,"$160,070",older than 30 days,
JD-39,AWS Solutions Architect,"Tanner, Hunt and Cameron",Salt Lake City,UT,"Salt Lake City, UT",USA,On-site,2025-03-10,2025-03-28,Mid-level,Full-time,Telecommunications,"$119,282","$138,111","$128,696","['Docker', 'IAM', 'Lambda', 'Linux', 'CloudFormation', 'Kubernetes', 'Terraform']","['AWS Certified Solutions Architect', 'AWS SysOps Administrator']",AWS,"As a AWS Solutions Architect, you will lead efforts to architect, implement, and maintain solutions on the AWS cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in AWS-specific tools and industry-standard DevOps and security practices.",Expired,Operations,USD,32,"$160,070",older than 30 days,
