job_id,job_title,company,city,state,location,country,remote_option,post_date,application_deadline,experience_level,employment_type,industry,min_salary,max_salary,salary_avg,required_skills,certifications_required,cloud_platform,job_description,job_availability_status,job_function,currency,job_post_age_days,job_posted_range,state_avg_salary
JD-11,Site Reliability Engineer,Flores-Rivera,Atlanta,GA,"Atlanta, GA",USA,Remote,1/18/2025,2/2/2025,Senior,Contract,Telecommunications,136242,175570,155906,"['CloudFormation', 'Terraform', 'AWS EC2', 'GCP', 'CI/CD']",['Google Professional Cloud Architect'],GCP,"We are looking for a Site Reliability Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Operations,USD,83,Older than 30 Days,158840.08
JD-12,Google Cloud Platform Engineer,Hunter PLC,Phoenix,AZ,"Phoenix, AZ",USA,Hybrid,2/7/2025,2/27/2025,Entry-level,Contract,E-commerce,54963,84822,69892,"['AWS EC2', 'GCP', 'Docker', 'CloudFormation', 'Kubernetes', 'Linux', 'Terraform', 'CI/CD']","['Terraform Associate', 'Microsoft Azure Fundamentals']",GCP,"We are looking for a Google Cloud Platform Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Security,USD,63,Older than 30 Days,172578.9
JD-13,Cloud Security Engineer,Powell-Young,Austin,TX,"Austin, TX",USA,On-site,3/14/2025,5/5/2025,Mid-level,Contract,Telecommunications,109445,145148,127296,"['Linux', 'Python', 'AWS EC2', 'Terraform', 'Kubernetes', 'CI/CD', 'Docker', 'Azure DevOps']",['AWS Certified Solutions Architect'],AWS,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Security,USD,28,Posted in Last 30 Days,171058.7
JD-14,Cloud Security Engineer,Solis-West,Austin,TX,"Austin, TX",USA,Remote,2/24/2025,3/12/2025,Senior,Contract,Healthcare,160273,201367,180820,"['Terraform', 'GCP', 'Kubernetes', 'CloudFormation', 'Python', 'Azure DevOps']",['AWS Certified Solutions Architect'],GCP,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Engineering,USD,46,Older than 30 Days,171058.7
JD-15,DevOps Engineer,West-Wilson,Salt Lake City,UT,"Salt Lake City, UT",USA,Remote,4/4/2025,5/22/2025,Mid-level,Contract,Healthcare,92212,132553,112382,"['Azure DevOps', 'GCP', 'Terraform', 'CI/CD', 'Python']",['Terraform Associate'],GCP,"We are looking for a DevOps Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Operations,USD,7,Posted in Last 10 Days,160070.32
JD-16,Site Reliability Engineer,"Valdez, Garcia and Gutierrez",Portland,OR,"Portland, OR",USA,On-site,2/28/2025,4/20/2025,Entry-level,Full-time,Finance,73931,91254,82592,"['GCP', 'Python', 'Kubernetes', 'Docker', 'Linux', 'CI/CD', 'Terraform', 'Azure DevOps']",['Google Professional Cloud Architect'],GCP,"We are looking for a Site Reliability Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Architecture,USD,42,Older than 30 Days,166068.75
JD-17,Azure DevOps Specialist,"Smith, Davis and Munoz",Salt Lake City,UT,"Salt Lake City, UT",USA,Remote,3/6/2025,4/20/2025,Mid-level,Full-time,Finance,106663,140067,123365,"['Azure DevOps', 'Linux', 'CI/CD', 'Python', 'Terraform', 'GCP']",['Microsoft Azure Fundamentals'],GCP,"We are looking for a Azure DevOps Specialist to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Security,USD,36,Older than 30 Days,160070.32
JD-18,Cloud Data Engineer,"Torres, Romero and Clark",Minneapolis,MN,"Minneapolis, MN",USA,Hybrid,3/12/2025,4/30/2025,Mid-level,Full-time,Healthcare,110153,130651,120402,"['Docker', 'Python', 'Azure DevOps', 'Terraform', 'GCP', 'AWS EC2']","['Google Professional Cloud Architect', 'Microsoft Azure Fundamentals']",GCP,"We are looking for a Cloud Data Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Engineering,USD,30,Posted in Last 30 Days,166680.8
JD-19,Cloud Data Engineer,Clements-Cox,Austin,TX,"Austin, TX",USA,Remote,3/17/2025,5/15/2025,Senior,Full-time,Healthcare,227173,302454,264813,"['Python', 'Terraform', 'CloudFormation', 'Azure DevOps', 'CI/CD']",['AWS Certified Solutions Architect'],Azure,"We are looking for a Cloud Data Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Architecture,USD,25,Posted in Last 30 Days,171058.7
JD-20,Cloud Infrastructure Engineer,Richard LLC,Las Vegas,NV,"Las Vegas, NV",USA,On-site,1/16/2025,2/6/2025,Senior,Contract,Education,138335,216577,177456,"['CI/CD', 'Docker', 'Terraform', 'AWS EC2', 'Kubernetes', 'Linux']",['Terraform Associate'],AWS,"We are looking for a Cloud Infrastructure Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Security,USD,85,Older than 30 Days,169535.59
JD-21,Cloud Security Engineer,"Greene, Moran and Cox",San Francisco,CA,"San Francisco, CA",USA,Hybrid,3/6/2025,4/18/2025,Entry-level,Full-time,Education,61286,88563,74924,"['GCP', 'CI/CD', 'AWS EC2', 'Linux', 'Terraform', 'CloudFormation', 'Kubernetes', 'Azure DevOps']",['AWS Certified Solutions Architect'],GCP,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Engineering,USD,36,Older than 30 Days,158378.38
JD-22,Google Cloud Platform Engineer,Davis Ltd,Las Vegas,NV,"Las Vegas, NV",USA,Remote,2/23/2025,4/17/2025,Senior,Contract,Education,154780,227701,191240,"['Python', 'Azure DevOps', 'Docker', 'Terraform', 'AWS EC2']","['Microsoft Azure Fundamentals', 'Google Professional Cloud Architect']",GCP,"We are looking for a Google Cloud Platform Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Security,USD,47,Older than 30 Days,169535.59
JD-23,AWS Cloud Engineer,Peterson Ltd,Miami,FL,"Miami, FL",USA,Remote,2/1/2025,2/23/2025,Entry-level,Contract,Healthcare,76262,87652,81957,"['GCP', 'Terraform', 'Azure DevOps', 'Python', 'Docker', 'Linux', 'AWS EC2', 'Kubernetes']","['Terraform Associate', 'AWS Certified Solutions Architect']",GCP,"We are looking for a AWS Cloud Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Engineering,USD,69,Older than 30 Days,164545.78
JD-24,Cloud Data Engineer,Kelley-Brooks,Nashville,TN,"Nashville, TN",USA,Hybrid,3/29/2025,4/16/2025,Senior,Full-time,Telecommunications,227454,345809,286631,"['CloudFormation', 'Linux', 'Azure DevOps', 'Python', 'CI/CD', 'Terraform', 'Docker']","['Terraform Associate', 'AWS Certified Solutions Architect']",Azure,"We are looking for a Cloud Data Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Architecture,USD,13,Posted in Last 30 Days,162482.82
JD-25,Site Reliability Engineer,Prince Group,Philadelphia,PA,"Philadelphia, PA",USA,Hybrid,1/21/2025,2/15/2025,Entry-level,Full-time,E-commerce,59905,93351,76628,"['Docker', 'Python', 'Azure DevOps', 'CloudFormation', 'Kubernetes', 'AWS EC2', 'Terraform', 'Linux']","['Microsoft Azure Fundamentals', 'Terraform Associate']",AWS,"We are looking for a Site Reliability Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Operations,USD,80,Older than 30 Days,164775.67
JD-26,Site Reliability Engineer,"Newton, Ortiz and King",Boston,MA,"Boston, MA",USA,Hybrid,1/24/2025,3/12/2025,Mid-level,Contract,Finance,93323,143255,118289,"['Azure DevOps', 'GCP', 'Kubernetes', 'CI/CD', 'Linux']","['Microsoft Azure Fundamentals', 'Google Professional Cloud Architect']",GCP,"We are looking for a Site Reliability Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Architecture,USD,77,Older than 30 Days,157901.38
JD-27,Site Reliability Engineer,Martinez Group,Boston,MA,"Boston, MA",USA,On-site,1/30/2025,3/7/2025,Mid-level,Full-time,Finance,96586,139340,117963,"['Python', 'Linux', 'GCP', 'Kubernetes', 'CloudFormation', 'Terraform']","['Microsoft Azure Fundamentals', 'AWS Certified Solutions Architect']",GCP,"We are looking for a Site Reliability Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Security,USD,71,Older than 30 Days,157901.38
JD-28,Cloud Infrastructure Engineer,Summers-Lee,Austin,TX,"Austin, TX",USA,On-site,1/31/2025,3/29/2025,Entry-level,Contract,Telecommunications,73147,92987,83067,"['AWS EC2', 'Terraform', 'CI/CD', 'GCP', 'Python', 'CloudFormation', 'Docker', 'Linux']","['Google Professional Cloud Architect', 'Microsoft Azure Fundamentals']",GCP,"We are looking for a Cloud Infrastructure Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Operations,USD,70,Older than 30 Days,171058.7
JD-29,Site Reliability Engineer,Sherman Inc,Portland,OR,"Portland, OR",USA,On-site,2/12/2025,3/26/2025,Mid-level,Full-time,Finance,101812,128861,115336,"['CloudFormation', 'GCP', 'Linux', 'Docker', 'AWS EC2', 'Azure DevOps', 'CI/CD']",['Terraform Associate'],GCP,"We are looking for a Site Reliability Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Security,USD,58,Older than 30 Days,166068.75
JD-30,Cloud Security Engineer,"Monroe, Chapman and Barton",Portland,OR,"Portland, OR",USA,On-site,4/10/2025,5/29/2025,Senior,Contract,Telecommunications,154244,172450,163347,"['CloudFormation', 'CI/CD', 'Linux', 'GCP', 'Terraform']","['Microsoft Azure Fundamentals', 'Terraform Associate']",GCP,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Architecture,USD,1,Posted in Last 5 Days,166068.75
JD-31,Cloud Security Engineer,Barrett-Blanchard,Dallas,TX,"Dallas, TX",USA,On-site,2/23/2025,3/17/2025,Senior,Full-time,E-commerce,159273,182909,171091,"['Terraform', 'GCP', 'Linux', 'Kubernetes', 'AWS EC2', 'Python']",['Google Professional Cloud Architect'],GCP,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Engineering,USD,47,Older than 30 Days,171058.7
JD-32,Azure DevOps Specialist,Smith-Fitzgerald,Boston,MA,"Boston, MA",USA,Remote,1/24/2025,2/18/2025,Mid-level,Full-time,Finance,98120,146973,122546,"['Kubernetes', 'Linux', 'CI/CD', 'Python', 'CloudFormation', 'Terraform', 'Docker', 'AWS EC2']","['Microsoft Azure Fundamentals', 'Google Professional Cloud Architect']",Azure,"We are looking for a Azure DevOps Specialist to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Engineering,USD,77,Older than 30 Days,157901.38
JD-33,Site Reliability Engineer,Roberson-Webb,Las Vegas,NV,"Las Vegas, NV",USA,On-site,3/5/2025,3/27/2025,Senior,Contract,Healthcare,140945,180311,160628,"['CI/CD', 'Azure DevOps', 'GCP', 'Terraform', 'Linux']","['Google Professional Cloud Architect', 'AWS Certified Solutions Architect']",GCP,"We are looking for a Site Reliability Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Architecture,USD,37,Older than 30 Days,169535.59
JD-34,Cloud Security Engineer,Holt and Sons,Detroit,MI,"Detroit, MI",USA,Remote,3/1/2025,4/28/2025,Senior,Contract,Education,214047,321007,267527,"['Terraform', 'Kubernetes', 'GCP', 'Azure DevOps', 'CI/CD', 'AWS EC2', 'CloudFormation', 'Python']","['Google Professional Cloud Architect', 'Terraform Associate']",GCP,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Architecture,USD,41,Older than 30 Days,171648.94
JD-35,Cloud Security Engineer,Garcia Ltd,Miami,FL,"Miami, FL",USA,On-site,3/22/2025,5/2/2025,Senior,Full-time,Finance,232468,335912,284190,"['Docker', 'GCP', 'Terraform', 'Azure DevOps', 'Python', 'AWS EC2']",['Google Professional Cloud Architect'],GCP,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Operations,USD,20,Posted in Last 30 Days,164545.78
JD-36,AWS Cloud Engineer,"Andrade, Gordon and Cruz",Portland,OR,"Portland, OR",USA,Remote,3/10/2025,4/3/2025,Entry-level,Contract,Healthcare,51191,81829,66510,"['Python', 'CloudFormation', 'Kubernetes', 'Azure DevOps', 'GCP', 'AWS EC2', 'Docker', 'Linux']",['AWS Certified Solutions Architect'],GCP,"We are looking for a AWS Cloud Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Engineering,USD,32,Older than 30 Days,166068.75
JD-37,Cloud Security Engineer,"Farmer, Hill and Stuart",Denver,CO,"Denver, CO",USA,Hybrid,3/11/2025,4/26/2025,Senior,Contract,Healthcare,249348,273765,261556,"['Terraform', 'Docker', 'Kubernetes', 'GCP', 'Azure DevOps', 'Linux']","['Google Professional Cloud Architect', 'Terraform Associate']",GCP,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Engineering,USD,31,Older than 30 Days,152551.08
JD-38,Cloud Security Engineer,Ballard-Taylor,Salt Lake City,UT,"Salt Lake City, UT",USA,Remote,2/8/2025,4/4/2025,Mid-level,Full-time,Education,108861,144797,126829,"['Docker', 'CI/CD', 'Python', 'Azure DevOps', 'GCP', 'Linux', 'AWS EC2', 'CloudFormation']",['Microsoft Azure Fundamentals'],GCP,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Security,USD,62,Older than 30 Days,160070.32
JD-39,Site Reliability Engineer,"Tanner, Hunt and Cameron",Salt Lake City,UT,"Salt Lake City, UT",USA,On-site,3/10/2025,5/2/2025,Mid-level,Full-time,Telecommunications,119282,138111,128696,"['Terraform', 'Linux', 'CI/CD', 'AWS EC2', 'Docker', 'Kubernetes']","['Microsoft Azure Fundamentals', 'AWS Certified Solutions Architect']",AWS,"We are looking for a Site Reliability Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Operations,USD,32,Older than 30 Days,160070.32
JD-40,AWS Cloud Engineer,Joseph-Walls,New York,NY,"New York, NY",USA,Remote,3/5/2025,3/23/2025,Senior,Full-time,Finance,232048,275022,253535,"['Terraform', 'Azure DevOps', 'Python', 'Docker', 'Linux', 'AWS EC2', 'CloudFormation', 'GCP']",['Microsoft Azure Fundamentals'],GCP,"We are looking for a AWS Cloud Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Architecture,USD,37,Older than 30 Days,169521.14
JD-41,Cloud Data Engineer,Harris PLC,Seattle,WA,"Seattle, WA",USA,On-site,3/13/2025,4/19/2025,Mid-level,Full-time,E-commerce,102990,124269,113629,"['Azure DevOps', 'CloudFormation', 'Python', 'CI/CD', 'Terraform', 'Docker']","['Google Professional Cloud Architect', 'Terraform Associate']",AWS,"We are looking for a Cloud Data Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Architecture,USD,29,Posted in Last 30 Days,172275.04
JD-42,Cloud Infrastructure Engineer,Parks-Morse,Boston,MA,"Boston, MA",USA,Hybrid,3/21/2025,4/18/2025,Mid-level,Full-time,Healthcare,94756,127875,111315,"['Python', 'CloudFormation', 'Terraform', 'CI/CD', 'GCP', 'Linux']","['Google Professional Cloud Architect', 'AWS Certified Solutions Architect']",GCP,"We are looking for a Cloud Infrastructure Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Security,USD,21,Posted in Last 30 Days,157901.38
JD-43,Google Cloud Platform Engineer,"Santos, Mullen and Gordon",Philadelphia,PA,"Philadelphia, PA",USA,On-site,1/23/2025,2/18/2025,Senior,Contract,Education,187492,349835,268663,"['Docker', 'CI/CD', 'Terraform', 'CloudFormation', 'Kubernetes', 'AWS EC2', 'Azure DevOps']",['AWS Certified Solutions Architect'],AWS,"We are looking for a Google Cloud Platform Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Operations,USD,78,Older than 30 Days,164775.67
JD-44,DevOps Engineer,"Morris, Wilson and Bell",Seattle,WA,"Seattle, WA",USA,Remote,3/19/2025,5/15/2025,Mid-level,Contract,Healthcare,90206,136911,113558,"['Docker', 'Azure DevOps', 'Linux', 'AWS EC2', 'Terraform', 'GCP', 'Python']",['AWS Certified Solutions Architect'],GCP,"We are looking for a DevOps Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Architecture,USD,23,Posted in Last 30 Days,172275.04
JD-45,DevOps Engineer,"Duncan, Contreras and Butler",New York,NY,"New York, NY",USA,Hybrid,2/26/2025,4/18/2025,Senior,Full-time,E-commerce,156168,186023,171095,"['CI/CD', 'AWS EC2', 'Kubernetes', 'Python', 'CloudFormation', 'Azure DevOps', 'Docker', 'Terraform']","['Google Professional Cloud Architect', 'Microsoft Azure Fundamentals']",Azure,"We are looking for a DevOps Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Engineering,USD,44,Older than 30 Days,169521.14
JD-46,Azure DevOps Specialist,"Mitchell, Boone and Stokes",Charlotte,NC,"Charlotte, NC",USA,Hybrid,3/24/2025,5/14/2025,Senior,Contract,E-commerce,134719,176078,155398,"['CI/CD', 'AWS EC2', 'Linux', 'Terraform', 'GCP', 'Azure DevOps', 'Docker']",['Google Professional Cloud Architect'],GCP,"We are looking for a Azure DevOps Specialist to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Security,USD,18,Posted in Last 30 Days,171317.19
JD-47,DevOps Engineer,Johnson and Sons,New York,NY,"New York, NY",USA,On-site,3/2/2025,3/18/2025,Senior,Full-time,Healthcare,180069,286936,233502,"['Python', 'AWS EC2', 'CloudFormation', 'CI/CD', 'Terraform', 'Azure DevOps', 'Docker']",['Microsoft Azure Fundamentals'],Azure,"We are looking for a DevOps Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Security,USD,40,Older than 30 Days,169521.14
