job_id,job_title,company,city,state,location,country,remote_option,post_date,application_deadline,experience_level,employment_type,industry,min_salary,max_salary,salary_avg,required_skills,certifications_required,cloud_platform,job_description,job_availability_status,job_function,currency,job_post_age_days,state_avg_salary,how_much_older
JD-11,AWS Networking Engineer,Amazon,Grand Rapids,MI,"Grand Rapids, MI",USA,On-site,4/30/25,5/31/25,Senior,Part-time,Logistics & Supply Chain,"$69,108","$297,197","$183,152","['Lambda', 'AWS CLI', 'RDS', 'SNS', 'Step Functions', 'DynamoDB', 'AWS KMS']","['AWS Certified Advanced Networking – Specialty', 'AWS Certified Solutions Architect – Professional']",AWS,"Seeking a talented Engineering professional skilled in Lambda, AWS CLI, RDS and AWS best practices.",Active,Engineering,USD,1,"$116,314",1 day
JD-12,AWS Machine Learning Engineer,Slalom,Denver,CO,"Denver, CO",USA,On-site,12/2/24,1/23/25,Senior,Full-time,Retail Technology,"$226,179","$324,782","$275,480","['AWS CodeBuild', 'API Gateway', 'IAM', 'SNS', 'Elastic Beanstalk', 'Athena', 'AWS CodePipeline', 'Redshift', 'Step Functions']","['AWS Certified SysOps Administrator – Associate', 'AWS Certified Advanced Networking – Specialty']",AWS,"Seeking a talented Engineering professional skilled in AWS CodeBuild, API Gateway, IAM and AWS best practices.",Active,Engineering,USD,150,"$131,189",older than 30 days
JD-13,AWS Cloud Support Engineer,Mindtree,Philadelphia,PA,"Philadelphia, PA",USA,Hybrid,4/26/25,6/6/25,Senior,Contract,Financial Services,"$115,808","$326,149","$220,978","['VPC', 'EKS', 'AWS CodeBuild', 'Athena', 'CloudFormation', 'AWS KMS', 'DynamoDB', 'RDS', 'Elastic Beanstalk', 'SNS']",['AWS Certified Security – Specialty'],AWS,"Seeking a talented Architecture professional skilled in VPC, EKS, AWS CodeBuild and AWS best practices.",Active,Engineering,USD,5,"$118,324",5 days
JD-14,AWS Security Engineer,Cognizant,Harrisburg,PA,"Harrisburg, PA",USA,Remote,4/26/25,7/6/25,Senior,Part-time,Retail Technology,"$54,328","$184,997","$119,662","['Elastic Beanstalk', 'AWS CodePipeline', 'IAM', 'ECS', 'EKS', 'CloudTrail']",['AWS Certified DevOps Engineer – Professional'],AWS,"Seeking a talented DevOps professional skilled in Elastic Beanstalk, AWS CodePipeline, IAM and AWS best practices.",Active,DevOps,USD,5,"$91,530",5 days
JD-15,AWS Big Data Engineer,Mindtree,Durham,NC,"Durham, NC",USA,On-site,4/30/25,6/12/25,Mid,Full-time,Government Services,"$147,102","$292,502","$219,802","['AWS CodeBuild', 'API Gateway', 'AWS KMS', 'AWS CLI', 'EC2']",['AWS Certified SysOps Administrator – Associate'],AWS,"Seeking a talented Engineering professional skilled in AWS CodeBuild, API Gateway, AWS KMS and AWS best practices.",Active,Architecture,USD,1,"$144,840",1 day
JD-16,AWS IoT Engineer,Accenture,Tucson,AZ,"Tucson, AZ",USA,Hybrid,4/30/25,7/26/25,Mid,Internship,Telecommunications,"$31,655","$163,605","$97,630","['IAM', 'EC2', 'CloudWatch', 'API Gateway', 'AWS CodeBuild', 'Athena']","['AWS Certified Advanced Networking – Specialty', 'AWS Certified DevOps Engineer – Professional']",AWS,"Seeking a talented DevOps professional skilled in IAM, EC2, CloudWatch and AWS best practices.",Active,Architecture,USD,1,"$112,408",1 day
JD-17,AWS Cloud Engineer,Virtusa,Naperville,IL,"Naperville, IL",USA,Hybrid,4/1/25,5/27/25,Senior,Internship,Insurance,"$40,024","$255,105","$147,564","['EKS', 'ECS', 'AWS CodeBuild', 'Athena', 'SQS', 'S3', 'DynamoDB', 'API Gateway', 'SNS', 'Redshift']",['AWS Certified Solutions Architect – Professional'],AWS,"Seeking a talented Engineering professional skilled in EKS, ECS, AWS CodeBuild and AWS best practices.",Active,Architecture,USD,30,"$145,466",30 days
JD-18,AWS Data Engineer,Booz Allen Hamilton,Baltimore,MD,"Baltimore, MD",USA,On-site,12/25/24,2/20/25,Senior,Internship,E-commerce,"$46,652","$294,016","$170,334","['CloudTrail', 'ECS', 'AWS KMS', 'Athena', 'Redshift']",['AWS Certified Solutions Architect – Professional'],AWS,"Seeking a talented Engineering professional skilled in CloudTrail, ECS, AWS KMS and AWS best practices.",Active,Architecture,USD,127,"$117,267",older than 30 days
JD-19,AWS SysOps Administrator,Amazon,Grand Rapids,MI,"Grand Rapids, MI",USA,Remote,4/30/25,6/14/25,Entry,Internship,Retail Technology,"$42,662","$250,890","$146,776","['DynamoDB', 'API Gateway', 'AWS KMS', 'Elastic Beanstalk', 'CloudFormation', 'IAM', 'Route 53', 'RDS', 'S3', 'AWS CodePipeline']",['AWS Certified DevOps Engineer – Professional'],AWS,"Seeking a talented DevOps professional skilled in DynamoDB, API Gateway, AWS KMS and AWS best practices.",Active,DevOps,USD,1,"$116,872",1 day
JD-20,AWS IoT Engineer,Cloudreach,Albany,NY,"Albany, NY",USA,On-site,4/30/25,6/10/25,Entry,Full-time,Consulting Services,"$62,630","$201,027","$131,828","['AWS CLI', 'CloudTrail', 'Lambda', 'Elastic Beanstalk', 'AWS KMS']",['AWS Certified SysOps Administrator – Associate'],AWS,"Seeking a talented Architecture professional skilled in AWS CLI, CloudTrail, Lambda and AWS best practices.",Active,Architecture,USD,1,"$161,349",1 day
JD-21,AWS Cloud Support Engineer,EPAM Systems,San Diego,CA,"San Diego, CA",USA,Remote,4/1/25,5/30/25,Senior,Internship,Media & Entertainment,"$35,541","$248,983","$142,262","['SQS', 'IAM', 'AWS CodeBuild', 'CloudTrail', 'VPC', 'API Gateway', 'Step Functions', 'CloudFormation']","['AWS Certified SysOps Administrator – Associate', 'AWS Certified Solutions Architect – Professional']",AWS,"Seeking a talented Architecture professional skilled in SQS, IAM, AWS CodeBuild and AWS best practices.",Expired,DevOps,USD,30,"$115,040",30 days
JD-22,AWS IoT Engineer,IBM,Naperville,IL,"Naperville, IL",USA,Remote,4/30/25,7/4/25,Senior,Internship,Telecommunications,"$44,438","$62,643","$53,540","['Athena', 'Redshift', 'API Gateway', 'Step Functions', 'RDS', 'Route 53', 'EKS', 'IAM', 'AWS CodeBuild', 'AWS KMS']","['AWS Certified SysOps Administrator – Associate', 'AWS Certified DevOps Engineer – Professional']",AWS,"Seeking a talented Engineering professional skilled in Athena, Redshift, API Gateway and AWS best practices.",Active,Engineering,USD,1,"$130,322",1 day
JD-23,AWS Big Data Engineer,Booz Allen Hamilton,Durham,NC,"Durham, NC",USA,On-site,4/26/25,7/19/25,Senior,Internship,Consulting Services,"$29,900","$62,768","$46,334","['AWS CodeBuild', 'Redshift', 'ECS', 'EC2', 'AWS KMS', 'SNS', 'Step Functions', 'SQS', 'S3', 'CloudTrail']","['AWS Certified Data Analytics – Specialty', 'AWS Certified Solutions Architect – Professional']",AWS,"Seeking a talented Engineering professional skilled in AWS CodeBuild, Redshift, ECS and AWS best practices.",Active,Architecture,USD,5,"$102,179",5 days
JD-24,AWS Full Stack Developer,Deloitte,Pittsburgh,PA,"Pittsburgh, PA",USA,Remote,4/26/25,6/4/25,Entry,Internship,Consulting Services,"$31,272","$130,719","$80,995","['Elastic Beanstalk', 'CloudWatch', 'VPC', 'AWS CodePipeline', 'EC2', 'Athena', 'SQS', 'RDS']",['AWS Certified Data Analytics – Specialty'],AWS,"Seeking a talented Architecture professional skilled in Elastic Beanstalk, CloudWatch, VPC and AWS best practices.",Active,DevOps,USD,5,"$103,779",5 days
JD-25,AWS Big Data Engineer,Booz Allen Hamilton,Grand Rapids,MI,"Grand Rapids, MI",USA,Remote,4/30/25,7/5/25,Mid,Internship,Telecommunications,"$25,112","$128,530","$76,821","['EKS', 'IAM', 'DynamoDB', 'CloudFormation', 'Lambda', 'CloudWatch']",['AWS Certified Advanced Networking – Specialty'],AWS,"Seeking a talented DevOps professional skilled in EKS, IAM, DynamoDB and AWS best practices.",Active,Engineering,USD,1,"$152,842",1 day
JD-26,AWS Security Engineer,Deloitte,New York,NY,"New York, NY",USA,Hybrid,2/21/25,5/11/25,Senior,Full-time,Cybersecurity,"$158,919","$233,776","$196,347","['Elastic Beanstalk', 'Athena', 'API Gateway', 'AWS CodeBuild', 'DynamoDB', 'Route 53', 'AWS CodePipeline', 'RDS']","['AWS Certified Security – Specialty', 'AWS Certified SysOps Administrator – Associate']",AWS,"Seeking a talented DevOps professional skilled in Elastic Beanstalk, Athena, API Gateway and AWS best practices.",Expired,DevOps,USD,69,"$138,699",older than 30 days
JD-27,AWS Full Stack Developer,TCS,Atlanta,GA,"Atlanta, GA",USA,Hybrid,4/30/25,7/16/25,Senior,Contract,Energy,"$82,931","$242,702","$162,816","['CloudFormation', 'DynamoDB', 'ECS', 'SQS', 'Elastic Beanstalk']","['AWS Certified DevOps Engineer – Professional', 'AWS Certified Data Analytics – Specialty']",AWS,"Seeking a talented DevOps professional skilled in CloudFormation, DynamoDB, ECS and AWS best practices.",Active,Architecture,USD,1,"$145,800",1 day
JD-28,AWS Data Engineer,HCLTech,Durham,NC,"Durham, NC",USA,Hybrid,4/1/25,6/30/25,Mid,Contract,Cybersecurity,"$242,064","$416,193","$329,128","['SNS', 'DynamoDB', 'CloudWatch', 'ECS', 'API Gateway', 'S3', 'RDS', 'AWS CodeBuild', 'IAM', 'SQS']",['AWS Certified Advanced Networking – Specialty'],AWS,"Seeking a talented Engineering professional skilled in SNS, DynamoDB, CloudWatch and AWS best practices.",Active,Architecture,USD,30,"$91,946",30 days
JD-29,AWS DevOps Engineer,Wipro,Augusta,GA,"Augusta, GA",USA,On-site,4/1/25,5/19/25,Senior,Part-time,Software Development,"$58,462","$150,295","$104,378","['SNS', 'CloudWatch', 'CloudTrail', 'AWS KMS', 'VPC', 'Route 53', 'Redshift', 'Step Functions', 'RDS', 'Athena']",['AWS Certified Solutions Architect – Professional'],AWS,"Seeking a talented Architecture professional skilled in SNS, CloudWatch, CloudTrail and AWS best practices.",Active,DevOps,USD,30,"$94,063",30 days
JD-30,AWS DevOps Engineer,Rackspace Technology,St. Paul,MN,"St. Paul, MN",USA,Remote,4/1/25,6/29/25,Senior,Full-time,Media & Entertainment,"$189,541","$324,447","$256,994","['AWS CLI', 'CloudWatch', 'EC2', 'RDS', 'EKS', 'AWS CodeBuild', 'S3', 'VPC']",['AWS Certified Solutions Architect – Associate'],AWS,"Seeking a talented DevOps professional skilled in AWS CLI, CloudWatch, EC2 and AWS best practices.",Active,DevOps,USD,30,"$157,622",30 days
JD-31,AWS Full Stack Developer,Cloudreach,Redmond,WA,"Redmond, WA",USA,Remote,4/30/25,7/3/25,Senior,Contract,Education Technology,"$60,472","$155,256","$107,864","['IAM', 'AWS CodeBuild', 'Redshift', 'AWS KMS', 'S3', 'API Gateway', 'SNS', 'Route 53', 'DynamoDB', 'CloudTrail']","['AWS Certified Developer – Associate', 'AWS Certified DevOps Engineer – Professional']",AWS,"Seeking a talented DevOps professional skilled in IAM, AWS CodeBuild, Redshift and AWS best practices.",Active,DevOps,USD,1,"$129,620",1 day
JD-32,AWS Database Administrator,PwC,Cleveland,OH,"Cleveland, OH",USA,Hybrid,11/19/24,2/6/25,Mid,Contract,Media & Entertainment,"$221,870","$384,059","$302,964","['IAM', 'S3', 'API Gateway', 'ECS', 'CloudFormation', 'Athena']",['AWS Certified Developer – Associate'],AWS,"Seeking a talented Architecture professional skilled in IAM, S3, API Gateway and AWS best practices.",Active,Architecture,USD,163,"$156,612",older than 30 days
JD-33,AWS Full Stack Developer,PwC,Cincinnati,OH,"Cincinnati, OH",USA,Hybrid,4/1/25,5/25/25,Mid,Internship,Software Development,"$48,190","$227,091","$137,640","['Athena', 'SNS', 'Elastic Beanstalk', 'AWS CodeBuild', 'S3', 'EKS', 'VPC']",['AWS Certified Security – Specialty'],AWS,"Seeking a talented Engineering professional skilled in Athena, SNS, Elastic Beanstalk and AWS best practices.",Active,Engineering,USD,30,"$128,538",30 days
JD-34,AWS Full Stack Developer,Deloitte,Boulder,CO,"Boulder, CO",USA,Remote,4/30/25,7/16/25,Senior,Full-time,Financial Services,"$248,364","$389,545","$318,954","['CloudTrail', 'API Gateway', 'SNS', 'S3', 'CloudWatch', 'IAM', 'ECS']","['AWS Certified Security – Specialty', 'AWS Certified DevOps Engineer – Professional']",AWS,"Seeking a talented DevOps professional skilled in CloudTrail, API Gateway, SNS and AWS best practices.",Active,Engineering,USD,1,"$174,890",1 day
JD-35,AWS Serverless Developer,TCS,Salt Lake City,UT,"Salt Lake City, UT",USA,Hybrid,4/30/25,6/9/25,Senior,Part-time,Financial Services,"$103,763","$176,530","$140,146","['Lambda', 'IAM', 'DynamoDB', 'SQS', 'VPC', 'Route 53', 'SNS']","['AWS Certified Security – Specialty', 'AWS Certified Data Analytics – Specialty']",AWS,"Seeking a talented Architecture professional skilled in Lambda, IAM, DynamoDB and AWS best practices.",Active,DevOps,USD,1,"$149,139",1 day
JD-36,AWS Big Data Engineer,Accenture,Naperville,IL,"Naperville, IL",USA,Hybrid,4/30/25,6/3/25,Entry,Contract,Insurance,"$221,043","$258,883","$239,963","['ECS', 'CloudWatch', 'API Gateway', 'AWS KMS', 'Step Functions', 'S3', 'EKS']",['AWS Certified Solutions Architect – Associate'],AWS,"Seeking a talented Engineering professional skilled in ECS, CloudWatch, API Gateway and AWS best practices.",Expired,DevOps,USD,1,"$164,062",1 day
JD-37,AWS Cloud Developer,Infosys,Salt Lake City,UT,"Salt Lake City, UT",USA,Remote,4/30/25,7/22/25,Senior,Contract,Government Services,"$79,920","$259,295","$169,607","['AWS CodePipeline', 'Route 53', 'SQS', 'ECS', 'AWS CLI']",['AWS Certified Advanced Networking – Specialty'],AWS,"Seeking a talented Engineering professional skilled in AWS CodePipeline, Route 53, SQS and AWS best practices.",Active,Engineering,USD,1,"$124,801",1 day
JD-38,AWS Cloud Developer,Rackspace Technology,Alexandria,VA,"Alexandria, VA",USA,On-site,4/30/25,7/6/25,Entry,Internship,Logistics & Supply Chain,"$46,375","$177,522","$111,948","['SQS', 'CloudTrail', 'Route 53', 'IAM', 'Lambda', 'RDS']","['AWS Certified Security – Specialty', 'AWS Certified Advanced Networking – Specialty']",AWS,"Seeking a talented Engineering professional skilled in SQS, CloudTrail, Route 53 and AWS best practices.",Active,Engineering,USD,1,"$172,366",1 day
JD-39,AWS DevOps Engineer,EPAM Systems,Cincinnati,OH,"Cincinnati, OH",USA,On-site,4/1/25,5/31/25,Entry,Full-time,Insurance,"$68,263","$108,328","$88,295","['API Gateway', 'IAM', 'EC2', 'DynamoDB', 'ECS', 'CloudFormation', 'Athena', 'Redshift']",['AWS Certified Advanced Networking – Specialty'],AWS,"Seeking a talented Architecture professional skilled in API Gateway, IAM, EC2 and AWS best practices.",Active,Engineering,USD,30,"$168,583",30 days
JD-40,AWS Cloud Support Engineer,Wipro,Bellevue,WA,"Bellevue, WA",USA,On-site,4/30/25,7/23/25,Entry,Full-time,Cybersecurity,"$74,225","$227,503","$150,864","['AWS KMS', 'SNS', 'Redshift', 'Lambda', 'AWS CLI', 'AWS CodeBuild', 'SQS', 'ECS', 'CloudTrail']",['AWS Certified Solutions Architect – Associate'],AWS,"Seeking a talented Engineering professional skilled in AWS KMS, SNS, Redshift and AWS best practices.",Expired,DevOps,USD,1,"$119,237",1 day
JD-41,AWS Solutions Architect,Amazon,Detroit,MI,"Detroit, MI",USA,On-site,4/1/25,5/11/25,Entry,Part-time,Healthcare,"$141,472","$223,686","$182,579","['AWS CLI', 'Redshift', 'API Gateway', 'Athena', 'Route 53', 'Elastic Beanstalk']",['AWS Certified SysOps Administrator – Associate'],AWS,"Seeking a talented Architecture professional skilled in AWS CLI, Redshift, API Gateway and AWS best practices.",Active,DevOps,USD,30,"$100,604",30 days
JD-42,AWS Cloud Support Engineer,Cognizant,Austin,TX,"Austin, TX",USA,On-site,4/26/25,5/28/25,Mid,Internship,Financial Services,"$42,451","$68,370","$55,410","['Elastic Beanstalk', 'Step Functions', 'AWS CLI', 'CloudFormation', 'S3', 'RDS', 'Athena']",['AWS Certified Developer – Associate'],AWS,"Seeking a talented DevOps professional skilled in Elastic Beanstalk, Step Functions, AWS CLI and AWS best practices.",Expired,Engineering,USD,5,"$128,741",5 days
JD-43,AWS Big Data Engineer,PwC,Los Angeles,CA,"Los Angeles, CA",USA,Remote,4/1/25,5/17/25,Mid,Contract,Retail Technology,"$247,615","$364,986","$306,300","['S3', 'EC2', 'SNS', 'IAM', 'SQS', 'VPC', 'Elastic Beanstalk', 'Redshift', 'EKS']","['AWS Certified Solutions Architect – Associate', 'AWS Certified Data Analytics – Specialty']",AWS,"Seeking a talented Architecture professional skilled in S3, EC2, SNS and AWS best practices.",Active,Architecture,USD,30,"$152,818",30 days
JD-44,AWS Cloud Engineer,Accenture,Salem,OR,"Salem, OR",USA,Hybrid,4/30/25,7/19/25,Mid,Internship,Cloud Computing,"$28,955","$189,796","$109,375","['DynamoDB', 'Route 53', 'S3', 'AWS CodeBuild', 'ECS', 'Lambda', 'SQS']","['AWS Certified Solutions Architect – Associate', 'AWS Certified Data Analytics – Specialty']",AWS,"Seeking a talented Architecture professional skilled in DynamoDB, Route 53, S3 and AWS best practices.",Expired,DevOps,USD,1,"$168,706",1 day
JD-45,AWS Cloud Engineer,Salesforce,Salem,OR,"Salem, OR",USA,Remote,3/29/25,6/14/25,Entry,Internship,Government Services,"$29,164","$139,669","$84,416","['EKS', 'DynamoDB', 'Athena', 'Redshift', 'Step Functions', 'SQS', 'AWS CodeBuild', 'VPC']","['AWS Certified SysOps Administrator – Associate', 'AWS Certified Advanced Networking – Specialty']",AWS,"Seeking a talented DevOps professional skilled in EKS, DynamoDB, Athena and AWS best practices.",Active,Engineering,USD,33,"$103,007",older than 30 days
JD-46,AWS DevOps Engineer,Amazon,Detroit,MI,"Detroit, MI",USA,On-site,4/30/25,6/16/25,Mid,Internship,Healthcare,"$47,083","$210,259","$128,671","['CloudWatch', 'SNS', 'VPC', 'AWS KMS', 'ECS', 'API Gateway', 'CloudTrail', 'EKS', 'Lambda', 'IAM']",['AWS Certified Developer – Associate'],AWS,"Seeking a talented DevOps professional skilled in CloudWatch, SNS, VPC and AWS best practices.",Active,DevOps,USD,1,"$109,163",1 day
JD-47,AWS SysOps Administrator,Accenture,Baltimore,MD,"Baltimore, MD",USA,On-site,11/17/24,12/19/24,Entry,Full-time,Financial Services,"$85,030","$106,651","$95,840","['API Gateway', 'Step Functions', 'RDS', 'SQS', 'Athena', 'CloudFormation', 'EC2', 'S3', 'AWS KMS', 'Elastic Beanstalk']","['AWS Certified Data Analytics – Specialty', 'AWS Certified SysOps Administrator – Associate']",AWS,"Seeking a talented Architecture professional skilled in API Gateway, Step Functions, RDS and AWS best practices.",Active,DevOps,USD,165,"$178,848",older than 30 days
JD-48,AWS Networking Engineer,EPAM Systems,Columbus,OH,"Columbus, OH",USA,Remote,4/1/25,6/27/25,Senior,Full-time,Healthcare,"$95,294","$190,704","$142,999","['AWS KMS', 'Athena', 'SQS', 'EKS', 'VPC', 'RDS', 'CloudFormation', 'Step Functions', 'AWS CodeBuild', 'S3']",['AWS Certified Developer – Associate'],AWS,"Seeking a talented Architecture professional skilled in AWS KMS, Athena, SQS and AWS best practices.",Active,Engineering,USD,30,"$169,131",30 days
JD-49,AWS Solutions Architect,Salesforce,Provo,UT,"Provo, UT",USA,Remote,12/29/24,3/10/25,Senior,Internship,Software Development,"$42,192","$220,756","$131,474","['Route 53', 'S3', 'CloudTrail', 'RDS', 'DynamoDB', 'AWS KMS', 'Athena', 'Step Functions', 'EC2']","['AWS Certified Solutions Architect – Associate', 'AWS Certified Solutions Architect – Professional']",AWS,"Seeking a talented Engineering professional skilled in Route 53, S3, CloudTrail and AWS best practices.",Active,Architecture,USD,123,"$129,185",older than 30 days
JD-50,AWS Security Engineer,Booz Allen Hamilton,Provo,UT,"Provo, UT",USA,Hybrid,4/1/25,5/7/25,Mid,Internship,Logistics & Supply Chain,"$44,491","$294,143","$169,317","['EKS', 'CloudTrail', 'Step Functions', 'Route 53', 'AWS CodePipeline', 'SNS']","['AWS Certified SysOps Administrator – Associate', 'AWS Certified Advanced Networking – Specialty']",AWS,"Seeking a talented DevOps professional skilled in EKS, CloudTrail, Step Functions and AWS best practices.",Active,Architecture,USD,30,"$179,065",30 days
JD-51,AWS Database Administrator,PwC,Nashville,TN,"Nashville, TN",USA,Hybrid,4/1/25,6/2/25,Senior,Internship,Energy,"$44,128","$99,888","$72,008","['AWS CodePipeline', 'RDS', 'Elastic Beanstalk', 'S3', 'DynamoDB', 'CloudWatch', 'CloudFormation', 'AWS CodeBuild', 'SQS', 'CloudTrail']",['AWS Certified Data Analytics – Specialty'],AWS,"Seeking a talented DevOps professional skilled in AWS CodePipeline, RDS, Elastic Beanstalk and AWS best practices.",Active,Architecture,USD,30,"$135,438",30 days
JD-52,AWS Machine Learning Engineer,Mindtree,Phoenix,AZ,"Phoenix, AZ",USA,Hybrid,4/30/25,7/6/25,Mid,Part-time,Retail Technology,"$223,309","$337,805","$280,557","['Athena', 'Redshift', 'CloudFormation', 'ECS', 'CloudTrail', 'Route 53', 'AWS CodePipeline']",['AWS Certified DevOps Engineer – Professional'],AWS,"Seeking a talented DevOps professional skilled in Athena, Redshift, CloudFormation and AWS best practices.",Active,Engineering,USD,1,"$102,248",1 day
JD-53,AWS Cloud Support Engineer,Mindtree,Nashville,TN,"Nashville, TN",USA,Remote,4/1/25,5/9/25,Mid,Internship,Logistics & Supply Chain,"$36,899","$258,995","$147,947","['AWS CLI', 'DynamoDB', 'Step Functions', 'CloudFormation', 'SQS', 'VPC', 'AWS KMS', 'S3']","['AWS Certified Solutions Architect – Associate', 'AWS Certified Data Analytics – Specialty']",AWS,"Seeking a talented Architecture professional skilled in AWS CLI, DynamoDB, Step Functions and AWS best practices.",Active,DevOps,USD,30,"$122,357",30 days
JD-54,AWS Solutions Architect,Cognizant,Eugene,OR,"Eugene, OR",USA,Hybrid,4/1/25,5/4/25,Mid,Full-time,Insurance,"$171,022","$280,345","$225,683","['CloudFormation', 'IAM', 'AWS CodeBuild', 'VPC', 'EKS', 'CloudTrail', 'Athena', 'Route 53', 'S3', 'DynamoDB']","['AWS Certified Data Analytics – Specialty', 'AWS Certified Advanced Networking – Specialty']",AWS,"Seeking a talented Architecture professional skilled in CloudFormation, IAM, AWS CodeBuild and AWS best practices.",Expired,Engineering,USD,30,"$114,007",30 days
